0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
18 Mizoram 38 42 3.2 5 5 0.4 33 37 2.8,,,,,,,,,,,,,
19 Nagaland 21 22 1.0 2 2 0.1 19 20 0.9,,,,,,,,,,,,,
20 Odisha 5234 5581 12.0 4312 4444 9.9 922 1137 2.1,,,,,,,,,,,,,
21 Punjab 3180 3367 10.7 1458 1567 4.9 1722 1800 5.8,,,,,,,,,,,,,
22 Rajasthan 8846 10374 11.5 2340 3095 3.1 6506 7279 8.5,,,,,,,,,,,,,
23 Sikkim 45 79 6.8 2 2 0.3 43 77 6.5,,,,,,,,,,,,,
24 Tamil Nadu 11844 13190 15.7 1490 1526 2.0 10354 11664 13.7,,,,,,,,,,,,,
25 Telangana 6066 7305 16.4 1592 1895 4.3 4474 5410 12.1,,,,,,,,,,,,,
26 Tripura 194 210 4.9 76 80 1.9 118 130 3.0,,,,,,,,,,,,,
27 Uttar Pradesh 18623 20114 8.4 14200 15476 6.4 4423 4638 2.0,,,,,,,,,,,,,
28 Uttarakhand 731 827 6.6 345 371 3.1 386 456 3.5,,,,,,,,,,,,,
29 West Bengal 5075 5674 5.3 192 201 0.2 4883 5473 5.1,,,,,,,,,,,,,
TOTAL STATE(S) 133229 149159 10.3 46186 50351 3.6 87043 98808 6.7,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 18 24 4.5 4 4 1.0 14 20 3.5,,,,,,,,,,,,,
31 Chandigarh 59 62 5.0 18 18 1.5 41 44 3.5,,,,,,,,,,,,,
32 D&N Haveli 52 52 9.9 30 30 5.7 22 22 4.2,,,,,,,,,,,,,
33 Daman & Diu 36 38 9.1 15 17 3.8 21 21 5.3,,,,,,,,,,,,,
34 Delhi 1657 1758 8.5 775 800 4.0 882 958 4.5,,,,,,,,,,,,,
35 Lakshadweep 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
36 Puducherry 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
"TOTAL UT(S) 1822 1934 7.7 842 869 3.6 980 1065 4.2
TOTAL ALL INDIA 135051 151093 10.2 47028 51220 3.6 88023 99873 6.7",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Causing Death by Negligence,,,,,,,,,,,
,,"Deaths due to Negligence
relating to Rail Accidents",,,"Deaths due to Medical
Negligence",,,"Deaths due to Negligence of
Civic Bodies",,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,21,22,23,24,25,26,27,28,29,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 8 14 0.0 1 1 0.0 0 0 0.0,,,,,,,,,,,,,
2 Arunachal Pradesh 0 0 0.0 0 0 0.0 3 3 0.2,,,,,,,,,,,,,
3 Assam 13 13 0.0 1 1 0.0 4 4 0.0,,,,,,,,,,,,,
4 Bihar 1 1 0.0 4 4 0.0 0 0 0.0,,,,,,,,,,,,,
5 Chhattisgarh 1 1 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
6 Goa 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
7 Gujarat 0 0 0.0 5 5 0.0 0 0 0.0,,,,,,,,,,,,,
8 Haryana 0 0 0.0 24 24 0.1 5 5 0.0,,,,,,,,,,,,,
9 Himachal Pradesh 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
10 Jammu & Kashmir 0 0 0.0 2 2 0.0 6 6 0.0,,,,,,,,,,,,,
11 Jharkhand 0 0 0.0 63 63 0.2 0 0 0.0,,,,,,,,,,,,,
12 Karnataka 0 0 0.0 4 4 0.0 5 5 0.0,,,,,,,,,,,,,
13 Kerala 0 0 0.0 13 13 0.0 0 0 0.0,,,,,,,,,,,,,
14 Madhya Pradesh 12 12 0.0 9 10 0.0 2 2 0.0,,,,,,,,,,,,,
15 Maharashtra 0 0 0.0 12 12 0.0 2 3 0.0,,,,,,,,,,,,,
16 Manipur 0 0 0.0 1 1 0.0 0 0 0.0,,,,,,,,,,,,,
