State_UT,Year,Rape_I,Rape_V,Rape_R,Attempt_to_Commit_Rape_I,Attempt_to_Commit_Rape_V,Attempt_to_Commit_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Assault_on_Women_Modesty_I,Assault_on_Women_Modesty_V,Assault_on_Women_Modesty_R,Sexual_Harassment_I,Sexual_Harassment_V,Sexual_Harassment_R,Stalking_I,Stalking_V,Stalking_R,Voyeurism_I,Voyeurism_V,Voyeurism_R,Disrobe_Sec354B_I,Disrobe_Sec354B_V,Disrobe_Sec354B_R,Kidnapping_Abduction_Women_I,Kidnapping_Abduction_Women_V,Kidnapping_Abduction_Women_R,Human_Trafficking_I,Human_Trafficking_V,Human_Trafficking_R,Cruelty_by_Husband_Relatives_I,Cruelty_by_Husband_Relatives_V,Cruelty_by_Husband_Relatives_R,Insult_to_Modesty_Sec509_I,Insult_to_Modesty_Sec509_V,Insult_to_Modesty_Sec509_R
Assam,2021,1733,1835,10.0,561,563,3.3,198,198,1.1,4499,4511,26.1,688,689,4.0,219,219,1.3,130,130,0.8,1387,1389,8.0,3294,3362,19.1,149,379,0.4,12950,12964,75.0,1.1,3,Assam
Bihar,2021,786,786,1.3,63,63,0.1,1000,1000,1.7,387,391,0.7,127,127,0.2,7,8,0.0,16,16,0.0,25,25,0.0,6589,6608,11.1,60,218,0.0,2069,2069,3.5,0.0,4,Bihar
Chhattisgarh,2021,1093,1093,7.4,7,7,0.0,65,65,0.4,1248,1267,8.5,130,130,0.9,67,67,0.5,10,11,0.1,21,21,0.1,70,70,0.5,25,34,0.1,963,963,6.5,1.6,5,Chhattisgarh
Goa,2021,72,74,9.3,0,0,0.0,0,0,0.0,74,81,9.6,22,22,2.8,20,22,2.6,2,2,0.3,5,7,0.6,0,0,0.0,11,27,0.7,1,1,0.1,2.6,6,Goa
Gujarat,2021,589,589,1.8,1,1,0.0,11,11,0.0,660,661,2.0,257,258,0.8,107,107,0.3,31,31,0.1,56,56,0.2,666,666,2.0,11,14,0.0,2271,2309,6.8,0.0,7,Gujarat
Haryana,2021,1716,1716,12.3,235,235,1.7,275,275,2.0,2882,2883,20.7,1070,1070,7.7,558,559,4.0,46,46,0.3,425,425,3.1,1084,1086,7.8,17,25,0.1,5755,5755,41.3,2.1,8,Haryana
Himachal Pradesh,2021,358,360,9.8,3,3,0.1,2,2,0.1,487,492,13.3,176,178,4.8,90,91,2.5,7,7,0.2,22,22,0.6,208,214,5.7,0,0,0.0,221,221,6.1,2.6,9,Himachal Pradesh
Jharkhand,2021,1425,1425,7.6,164,164,0.9,281,281,1.5,1335,1339,7.1,148,152,0.8,53,53,0.3,28,28,0.1,337,337,1.8,658,658,3.5,100,188,0.3,931,931,4.9,0.0,10,Jharkhand
Karnataka,2021,555,559,1.7,4,4,0.0,158,163,0.5,5105,5985,15.5,432,444,1.3,178,189,0.5,20,20,0.1,1096,1225,3.3,75,76,0.2,13,52,0.0,2336,2408,7.1,0.2,11,Karnataka
Kerala,2021,771,786,4.2,61,61,0.3,9,9,0.0,4059,4134,22.0,1088,1108,5.9,393,394,2.1,92,93,0.5,93,95,0.5,33,33,0.2,68,80,0.2,4997,5079,27.1,2.7,12,Kerala
Madhya Pradesh,2021,2947,2947,7.2,28,28,0.1,522,523,1.3,5760,5764,14.0,1557,1557,3.8,1072,1072,2.6,122,122,0.3,75,75,0.2,1340,1341,3.3,65,109,0.1,7929,7932,19.3,0.6,13,Madhya Pradesh
Maharashtra,2021,2496,2506,4.2,1,1,0.0,172,172,0.3,10568,10578,17.6,3144,3146,5.2,2131,2132,3.6,210,210,0.4,505,505,0.8,405,418,0.7,260,531,0.2,10095,10101,16.9,1.7,14,Maharashtra
Manipur,2021,26,26,1.6,0,0,0.0,2,2,0.1,92,94,5.8,1,1,0.1,22,22,1.4,1,1,0.1,1,1,0.1,21,21,1.3,1,2,0.0,18,19,1.1,1.0,15,Manipur
Meghalaya,2021,75,75,4.6,26,26,1.6,0,0,0.0,92,92,5.6,25,25,1.5,5,5,0.3,8,8,0.5,2,2,0.1,9,12,0.5,1,3,0.0,21,21,1.3,1.5,16,Meghalaya
Mizoram,2021,26,26,4.3,0,0,0.0,0,0,0.0,31,31,5.1,14,14,2.3,5,5,0.8,0,0,0.0,2,2,0.3,0,0,0.0,0,0,0.0,11,11,1.8,0.0,17,Mizoram
Nagaland,2021,4,4,0.4,0,0,0.0,0,0,0.0,11,11,1.0,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,0.1,18,Nagaland
Odisha,2021,1456,1456,6.4,151,151,0.7,293,293,1.3,14853,14891,65.3,1520,1527,6.7,397,397,1.7,148,148,0.7,3357,3358,14.8,215,215,0.9,129,185,0.3,4889,5488,21.5,3.7,19,Odisha
Punjab,2021,464,508,3.2,60,60,0.4,69,69,0.5,678,688,4.7,194,197,1.3,88,89,0.6,14,14,0.1,85,85,0.6,1571,1576,10.9,5,5,0.0,1714,1715,11.9,0.3,20,Punjab
Rajasthan,2021,6337,6342,16.4,987,988,2.6,452,454,1.2,9079,9084,23.5,630,635,1.6,476,476,1.2,52,52,0.1,612,612,1.6,975,975,2.5,7,7,0.0,16949,16973,43.8,0.2,21,Rajasthan
Sikkim,2021,8,8,2.5,0,0,0.0,0,0,0.0,17,17,5.3,3,3,0.9,1,1,0.3,0,0,0.0,0,0,0.0,1,1,0.3,0,0,0.0,3,3,0.9,0.0,22,Sikkim
Tamil Nadu,2021,422,422,1.1,20,20,0.1,27,27,0.1,1077,1077,2.8,152,152,0.4,41,41,0.1,41,41,0.1,33,33,0.1,506,517,1.3,5,19,0.0,875,875,2.3,0.1,23,Tamil Nadu
Telangana,2021,823,823,4.4,36,36,0.2,175,175,0.9,4365,4388,23.3,656,659,3.5,1265,1266,6.7,114,114,0.6,118,120,0.6,330,330,1.8,123,221,0.3,9468,9468,50.4,4.1,24,Telangana
Tripura,2021,61,61,3.0,14,14,0.7,22,22,1.1,94,94,4.7,13,13,0.6,2,2,0.1,0,0,0.0,23,23,1.1,44,44,2.2,1,1,0.0,355,355,17.7,0.0,25,Tripura
Uttar Pradesh,2021,2845,2845,2.6,277,278,0.2,2222,2235,2.0,9393,9703,8.5,3557,3699,3.2,318,318,0.3,104,104,0.1,1612,1637,1.5,8599,8677,7.7,13,45,0.0,18375,18383,16.6,0.0,26,Uttar Pradesh
Uttarakhand,2021,534,534,9.6,33,33,0.6,72,72,1.3,655,655,11.7,45,45,0.8,33,33,0.6,6,6,0.1,20,20,0.4,200,200,3.6,14,19,0.1,519,719,9.3,0.2,27,Uttarakhand
West Bengal,2021,1123,1123,2.3,875,882,1.8,454,471,0.9,2485,2485,5.2,304,304,0.6,235,235,0.5,118,118,0.2,486,486,1.0,506,508,1.1,29,43,0.0,19952,20052,41.5,0.9,28,West Bengal
