State_UT,Year,Rape_I,Rape_V,Rape_R,Attempt_to_Commit_Rape_I,Attempt_to_Commit_Rape_V,Attempt_to_Commit_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Assault_on_Women_Modesty_I,Assault_on_Women_Modesty_V,Assault_on_Women_Modesty_R,Sexual_Harassment_I,Sexual_Harassment_V,Sexual_Harassment_R,Stalking_I,Stalking_V,Stalking_R,Voyeurism_I,Voyeurism_V,Voyeurism_R,Disrobe_Sec354B_I,Disrobe_Sec354B_V,Disrobe_Sec354B_R,Kidnapping_Abduction_Women_I,Kidnapping_Abduction_Women_V,Kidnapping_Abduction_Women_R,Human_Trafficking_I,Human_Trafficking_V,Human_Trafficking_R,Cruelty_by_Husband_Relatives_I,Cruelty_by_Husband_Relatives_V,Cruelty_by_Husband_Relatives_R,Insult_to_Modesty_Sec509_I,Insult_to_Modesty_Sec509_V,Insult_to_Modesty_Sec509_R
Assam,2022,1113,1478,6.4,253,283,1.5,175,195,1.0,1984,2168,11.4,216,221,1.2,101,101,0.6,56,56,0.3,401,418,2.3,2180,2296,12.5,108,204,0.3,4704,5870,27.0,149,149,0.9
Bihar,2022,881,881,1.5,17,17,0.0,1057,1057,1.8,402,403,0.7,14,14,0.0,4,4,0.0,3,3,0.0,48,48,0.1,7940,7940,13.2,88,366,0.1,1850,1850,3.1,0,0,0.0
Chhattisgarh,2022,1246,1246,8.3,8,8,0.1,57,63,0.4,1322,1329,8.9,115,121,0.8,84,84,0.6,11,11,0.1,47,47,0.3,73,73,0.5,23,27,0.1,942,945,6.3,255,256,1.7
Goa,2022,73,75,9.4,0,0,0.0,0,0,0.0,87,90,11.2,19,20,2.4,17,17,2.2,13,13,1.7,1,1,0.1,0,0,0.0,6,13,0.4,6,6,0.8,30,31,3.9
Gujarat,2022,610,610,1.8,2,2,0.0,10,10,0.0,693,705,2.1,239,245,0.7,93,96,0.3,28,28,0.1,69,69,0.2,711,715,2.1,4,5,0.0,2166,2209,6.4,17,17,0.1
Haryana,2022,1787,1787,12.7,255,255,1.8,234,234,1.7,2739,2742,19.4,916,917,6.5,587,589,4.2,40,40,0.3,446,446,3.2,1041,1052,7.4,10,15,0.0,5883,5887,41.7,322,324,2.3
Himachal Pradesh,2022,359,369,9.8,9,9,0.2,1,1,0.0,492,494,13.4,150,151,4.1,90,91,2.5,7,7,0.2,20,20,0.5,130,131,3.5,0,0,0.0,196,201,5.3,77,77,2.1
Jharkhand,2022,1298,1298,6.8,88,88,0.5,208,214,1.1,1144,1167,6.0,140,140,0.7,109,109,0.6,17,17,0.1,299,299,1.6,756,756,4.0,94,149,0.2,850,870,4.4,2,2,0.0
Karnataka,2022,595,598,1.8,4,4,0.0,165,166,0.5,6201,7150,18.7,613,655,1.8,178,180,0.5,30,30,0.1,1328,1573,4.0,30,30,0.1,18,67,0.0,2812,2851,8.5,78,82,0.2
Kerala,2022,814,820,4.4,41,65,0.2,11,12,0.1,4940,5020,26.6,1518,1548,8.2,451,457,2.4,105,109,0.6,122,124,0.7,19,19,0.1,35,80,0.1,4998,5094,27.0,572,600,3.1
Madhya Pradesh,2022,3029,3046,7.3,22,22,0.1,518,520,1.2,5564,5567,13.4,1445,1445,3.5,924,925,2.2,88,88,0.2,58,58,0.1,1484,1487,3.6,46,93,0.1,8486,8506,20.4,265,267,0.6
Maharashtra,2022,2904,2911,4.8,2,2,0.0,180,184,0.3,11512,11611,19.1,2946,2947,4.9,2557,2559,4.2,230,230,0.4,570,570,0.9,130,132,0.2,239,361,0.2,11367,11384,18.8,1317,1337,2.2
Manipur,2022,42,42,2.6,0,0,0.0,0,0,0.0,67,72,4.2,5,5,0.3,6,6,0.4,2,2,0.1,2,2,0.1,22,22,1.4,0,0,0.0,10,10,0.6,11,11,0.7
Meghalaya,2022,75,75,4.5,20,20,1.2,1,1,0.1,63,63,3.8,13,13,0.8,6,6,0.4,1,1,0.1,3,3,0.2,10,10,0.6,2,2,0.1,28,28,1.7,22,22,1.3
Mizoram,2022,14,14,2.3,3,3,0.5,0,0,0.0,28,29,4.6,9,10,1.5,3,3,0.5,0,0,0.0,3,3,0.5,0,0,0.0,1,1,0.1,4,4,0.7,0,0,0.0
Nagaland,2022,7,7,0.7,0,0,0.0,0,0,0.0,9,9,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1,0,0,0.0,3,3,0.3,0,0,0.0
Odisha,2022,1464,1464,6.4,161,161,0.7,263,263,1.1,7327,7337,32.0,848,849,3.7,325,325,1.4,91,91,0.4,1730,1731,7.6,20,20,0.1,114,118,0.2,5322,5466,23.2,689,691,3.0
Punjab,2022,517,517,3.6,42,42,0.3,71,71,0.5,666,667,4.6,190,190,1.3,83,83,0.6,23,23,0.2,77,77,0.5,1406,1444,9.7,12,15,0.0,1640,1640,11.3,36,37,0.2
Rajasthan,2022,5399,5408,13.8,1053,1053,2.7,451,451,1.2,8508,8568,21.7,956,956,2.4,582,582,1.5,57,57,0.1,557,557,1.4,1309,1314,3.3,10,10,0.0,18847,18852,48.2,83,83,0.2
Sikkim,2022,13,13,4.0,1,1,0.3,0,0,0.0,23,23,7.1,4,4,1.2,1,1,0.3,2,2,0.6,2,2,0.6,0,0,0.0,0,0,0.0,2,2,0.6,2,2,0.6
Tamil Nadu,2022,421,421,1.1,21,21,0.1,29,29,0.1,1414,1417,3.7,243,243,0.6,66,66,0.2,32,32,0.1,28,28,0.1,397,397,1.0,3,7,0.0,1043,1043,2.7,58,58,0.2
Telangana,2022,814,814,4.3,36,36,0.2,137,137,0.7,4652,4700,24.7,685,685,3.6,1512,1517,8.0,153,157,0.8,130,132,0.7,232,233,1.2,171,233,0.5,9996,9996,53.0,930,990,4.9
Tripura,2022,62,62,3.1,8,8,0.4,25,25,1.2,87,88,4.3,10,10,0.5,2,2,0.1,1,1,0.0,13,13,0.6,21,21,1.0,1,1,0.0,338,338,16.7,2,2,0.1
Uttar Pradesh,2022,3690,3692,3.3,198,201,0.2,2138,2142,1.9,10548,10663,9.4,4530,4533,4.0,425,435,0.4,131,131,0.1,1903,1915,1.7,9598,9607,8.6,19,26,0.0,20371,20511,18.2,55,55,0.0
Uttarakhand,2022,867,905,15.4,18,18,0.3,70,70,1.2,699,699,12.4,14,14,0.2,28,28,0.5,0,0,0.0,5,5,0.1,14,14,0.2,13,24,0.1,954,956,16.9,16,16,0.3
West Bengal,2022,1111,1112,2.3,826,928,1.7,406,427,0.8,2477,2564,5.1,326,331,0.7,278,281,0.6,140,143,0.3,539,581,1.1,485,485,1.0,35,60,0.0,19650,22431,40.6,400,408,0.8
A&N Islands,2022,12,12,6.3,1,1,0.5,0,0,0.0,32,33,16.8,7,7,3.7,2,2,1.1,2,2,1.1,6,7,3.2,0,0,0.0,0,0,0.0,5,5,2.6,5,5,2.6
Chandigarh,2022,78,78,13.9,1,1,0.2,1,1,0.2,42,42,7.5,7,7,1.2,16,16,2.8,2,2,0.4,2,2,0.4,16,16,2.8,0,0,0.0,83,83,14.7,2,2,0.4
D&N Haveli and Daman & Diu,2022,9,9,2.2,0,0,0.0,1,1,0.2,11,11,2.7,5,5,1.2,1,1,0.2,0,0,0.0,3,3,0.7,2,2,0.5,0,0,0.0,10,10,2.4,0,0,0.0
Delhi,2022,1212,1212,12.3,4,4,0.0,131,131,1.3,2017,2029,20.4,366,369,3.7,344,344,3.5,41,41,0.4,374,375,3.8,7,7,0.1,87,559,0.4,4901,4930,49.7,387,400,3.9
Jammu & Kashmir,2022,287,287,4.5,11,11,0.2,9,9,0.1,1606,1608,24.9,6,6,0.1,24,24,0.4,2,2,0.0,75,75,1.2,462,462,7.2,8,15,0.1,500,500,7.8,19,19,0.3
Ladakh,2022,5,5,3.8,0,0,0.0,0,0,0.0,1,1,0.8,1,1,0.8,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.5,0,0,0.0,2,2,1.5,1,1,0.8
Lakshadweep,2022,4,4,12.1,0,0,0.0,0,0,0.0,1,1,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,9.1,0,0,0.0
Puducherry,2022,9,9,1.1,0,0,0.0,1,1,0.1,35,35,4.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,23,56,1.4,9,9,1.1,5,5,0.6
